patient,feature_set,seed,arm,recipient,target_donor,control_donor,target_pixel_rms,control_pixel_rms,relative_amplitude_mismatch,other_tissue_drift,control_tissue_drift,numerical_checks_pass,observed_fraction_change,predicted_fraction_change,change_absolute_error
TCGA-A2-A04T,rgb_texture,23,target,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,-0.010699932463467121,-0.005671799182891846,0.005028133280575275
TCGA-A2-A04T,rgb_texture,23,control,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,0.00028907859814353287,-0.005479276180267334,0.005768354778410867
TCGA-A2-A04T,rgb_texture,23,target,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,-0.010799341835081577,-0.010257899761199951,0.0005414420738816261
TCGA-A2-A04T,rgb_texture,23,control,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,0.000189669182873331,-0.004784524440765381,0.004974193623638712
TCGA-A2-A04T,rgb_texture,37,target,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,-0.010529959574341774,-0.009769439697265625,0.000760519877076149
TCGA-A2-A04T,rgb_texture,37,control,2,11,78,0.2323676198720932,0.23224274814128876,0.0005373886898406027,0.0,0.041773692037312425,True,0.00045905139995738864,-0.0026610493659973145,0.003120100765954703
TCGA-A2-A04T,rgb_texture,37,target,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,-0.010699932463467121,-0.009650051593780518,0.0010498808696866035
TCGA-A2-A04T,rgb_texture,37,control,3,11,79,0.22164621949195862,0.2218085378408432,0.000732330780360869,0.0,0.02630615234375,True,0.00028907859814353287,-0.00228273868560791,0.002571817283751443
TCGA-A2-A04T,rgb_texture,37,target,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,-0.010799341835081577,-0.00692296028137207,0.003876381553709507
TCGA-A2-A04T,rgb_texture,37,control,15,11,35,0.2231767177581787,0.22367991507053375,0.002254703435957315,0.0,0.017259910223177632,True,0.000189669182873331,-0.002536475658416748,0.002726144841290079
TCGA-A2-A0CM,rgb,11,target,5,40,34,0.20632153749465942,0.21227090060710907,0.028835395396390177,0.01470947265625,0.01470947265625,True,-0.0156395323574543,-2.5331974029541016e-05,0.015614200383424759
TCGA-A2-A0CM,rgb,11,control,5,40,34,0.20632153749465942,0.21227090060710907,0.028835395396390177,0.01470947265625,0.01470947265625,True,0.00023348368995357305,0.0010249614715576172,0.0007914777816040441
TCGA-A2-A0CM,rgb,11,target,6,40,34,0.19896455109119415,0.21173427999019623,0.06418092483795845,0.0,0.130859375,False,-0.013795883394777775,-0.0005335807800292969,0.013262302614748478
TCGA-A2-A0CM,rgb,11,control,6,40,34,0.19896455109119415,0.21173427999019623,0.06418092483795845,0.0,0.130859375,False,0.0020771329291164875,0.001012265682220459,0.0010648672468960285
TCGA-A2-A0CM,rgb,11,target,7,40,34,0.20334720611572266,0.22867080569267273,0.12453379645913941,0.0,0.196533203125,False,-0.012753440998494625,0.0012822747230529785,0.014035715721547604
TCGA-A2-A0CM,rgb,11,control,7,40,34,0.20334720611572266,0.22867080569267273,0.12453379645913941,0.0,0.196533203125,False,0.0031195746269077063,0.0027037858963012695,0.00041578873060643673
TCGA-A2-A0CM,rgb,23,target,5,40,34,0.20632153749465942,0.21227090060710907,0.028835395396390177,0.01470947265625,0.01470947265625,True,-0.0156395323574543,-0.006875574588775635,0.008763957768678665
TCGA-A2-A0CM,rgb,23,control,5,40,34,0.20632153749465942,0.21227090060710907,0.028835395396390177,0.01470947265625,0.01470947265625,True,0.00023348368995357305,0.002894580364227295,0.002661096674273722
TCGA-A2-A0CM,rgb,23,target,6,40,34,0.19896455109119415,0.21173427999019623,0.06418092483795845,0.0,0.130859375,False,-0.013795883394777775,-0.0031676292419433594,0.010628254152834415
TCGA-A2-A0CM,rgb,23,control,6,40,34,0.19896455109119415,0.21173427999019623,0.06418092483795845,0.0,0.130859375,False,0.0020771329291164875,0.0010051727294921875,0.0010719601996243
TCGA-A2-A0CM,rgb,23,target,7,40,34,0.20334720611572266,0.22867080569267273,0.12453379645913941,0.0,0.196533203125,False,-0.012753440998494625,-0.0014982819557189941,0.011255159042775631
TCGA-A2-A0CM,rgb,23,control,7,40,34,0.20334720611572266,0.22867080569267273,0.12453379645913941,0.0,0.196533203125,False,0.0031195746269077063,0.0014549493789672852,0.001664625247940421
TCGA-A2-A0CM,rgb,37,target,5,40,34,0.20632153749465942,0.21227090060710907,0.028835395396390177,0.01470947265625,0.01470947265625,True,-0.0156395323574543,-0.00013446807861328125,0.015505064278841019
TCGA-A2-A0CM,rgb,37,control,5,40,34,0.20632153749465942,0.21227090060710907,0.028835395396390177,0.01470947265625,0.01470947265625,True,0.00023348368995357305,0.002361774444580078,0.002128290754626505
TCGA-A2-A0CM,rgb,37,target,6,40,34,0.19896455109119415,0.21173427999019623,0.06418092483795845,0.0,0.130859375,False,-0.013795883394777775,-0.0007839798927307129,0.013011903502047062
