architecture,patient,factor,repeat,probability_IC_change
GCN,179,1.05,10,0.001672208309173584
GCN,179,1.05,11,0.008730173110961914
GCN,179,1.05,12,0.00732111930847168
GCN,179,1.05,13,0.003954529762268066
GCN,179,1.05,14,-0.0006269216537475586
GCN,179,1.05,15,-0.015636563301086426
GCN,179,1.05,16,0.01967453956604004
GCN,179,1.05,17,-0.01891881227493286
GCN,179,1.05,18,-0.001713395118713379
GCN,179,1.05,19,-0.00469362735748291
GCN,22,0.95,0,0.011297851800918579
GCN,22,0.95,1,-0.018278121948242188
GCN,22,0.95,2,0.007817745208740234
GCN,22,0.95,3,0.00905686616897583
GCN,22,0.95,4,0.01755550503730774
GCN,22,0.95,5,-0.020126789808273315
GCN,22,0.95,6,-0.015966147184371948
GCN,22,0.95,7,0.014222323894500732
GCN,22,0.95,8,-7.784366607666016e-05
GCN,22,0.95,9,-0.012952059507369995
GCN,22,0.95,10,0.026552826166152954
GCN,22,0.95,11,0.006356775760650635
GCN,22,0.95,12,0.03260675072669983
GCN,22,0.95,13,0.01755884289741516
GCN,22,0.95,14,0.006783664226531982
GCN,22,0.95,15,-0.015611052513122559
GCN,22,0.95,16,-0.01315838098526001
GCN,22,0.95,17,0.012335538864135742
GCN,22,0.95,18,0.02016448974609375
GCN,22,0.95,19,-0.005317896604537964
GCN,22,1.05,0,0.01319211721420288
GCN,22,1.05,1,0.01579582691192627
GCN,22,1.05,2,-0.01794534921646118
GCN,22,1.05,3,-0.019469022750854492
GCN,22,1.05,4,-0.01648104190826416
GCN,22,1.05,5,-0.012275993824005127
GCN,22,1.05,6,-0.005404293537139893
GCN,22,1.05,7,0.018720388412475586
GCN,22,1.05,8,-0.0016154050827026367
GCN,22,1.05,9,0.004912436008453369
GCN,22,1.05,10,-0.00891384482383728
GCN,22,1.05,11,-0.0025950074195861816
GCN,22,1.05,12,0.006904184818267822
GCN,22,1.05,13,-0.018237173557281494
GCN,22,1.05,14,0.006533563137054443
GCN,22,1.05,15,0.009447813034057617
GCN,22,1.05,16,0.027437478303909302
GCN,22,1.05,17,-0.016429901123046875
GCN,22,1.05,18,-0.008522331714630127
GCN,22,1.05,19,0.0023863613605499268
GCN,33,0.95,0,-0.01020878553390503
GCN,33,0.95,1,0.001153111457824707
GCN,33,0.95,2,0.006343424320220947
GCN,33,0.95,3,0.001026242971420288
GCN,33,0.95,4,-0.005450040102005005
GCN,33,0.95,5,-0.003237992525100708
GCN,33,0.95,6,-0.0022371411323547363
GCN,33,0.95,7,0.02376115322113037
GCN,33,0.95,8,-0.00657227635383606
GCN,33,0.95,9,0.004244178533554077
GCN,33,0.95,10,-0.006382644176483154
GCN,33,0.95,11,0.006311386823654175
GCN,33,0.95,12,0.0037369728088378906
GCN,33,0.95,13,-0.011642277240753174
GCN,33,0.95,14,-0.0014896988868713379
GCN,33,0.95,15,-0.01131349802017212
GCN,33,0.95,16,-0.007047533988952637
GCN,33,0.95,17,0.010904669761657715
GCN,33,0.95,18,0.01624429225921631
GCN,33,0.95,19,-0.007114768028259277
GCN,33,1.05,0,0.004896223545074463
GCN,33,1.05,1,-0.017061620950698853
GCN,33,1.05,2,0.008209913969039917
GCN,33,1.05,3,-0.0009287595748901367
GCN,33,1.05,4,0.007341116666793823
GCN,33,1.05,5,-0.007803618907928467
GCN,33,1.05,6,-0.004349648952484131
GCN,33,1.05,7,0.01344919204711914
GCN,33,1.05,8,-0.006397038698196411
GCN,33,1.05,9,-0.005343586206436157
GCN,33,1.05,10,0.0010834336280822754
GCN,33,1.05,11,-0.010887384414672852
GCN,33,1.05,12,-0.013754427433013916
GCN,33,1.05,13,0.002605259418487549
GCN,33,1.05,14,0.01627427339553833
GCN,33,1.05,15,0.005550354719161987
GCN,33,1.05,16,0.010130047798156738
GCN,33,1.05,17,-0.0022255778312683105
GCN,33,1.05,18,0.008924335241317749
GCN,33,1.05,19,-0.0003154575824737549
GCN,54,0.95,0,0.012248963117599487
GCN,54,0.95,1,0.009946882724761963
GCN,54,0.95,2,0.0028007030487060547
GCN,54,0.95,3,-0.002946525812149048
GCN,54,0.95,4,0.004446953535079956
GCN,54,0.95,5,0.009097784757614136
