stage,analysis,record_type,dataset,model,seed,concept,layer,probe_metric,probe_value,tcav_value,target_effect,control_effect,gcia_excess,ci_low,ci_high,intervention_valid,interpretation,budget,concept_shift,control_budget,control_ci_high,control_ci_low,control_concept_shift,encoded,invalid_reason,metric,n_graphs,n_groups,patient_id,permutation_p,sample_id,target_ci_high,target_ci_low,valid_fraction,value
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.36098504066467285,0.4743577837944031,-0.11337274312973022,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.36098504066467285,0.40953391790390015,-0.048548877239227295,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_10,,test_10_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4566228985786438,0.268677294254303,0.18794560432434082,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_11,,test_11_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4566228985786438,0.25332120060920715,0.20330169796943665,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_11,,test_11_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3623955547809601,0.1557004749774933,0.2066950798034668,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_11,,test_11_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3623955547809601,0.16936653852462769,0.1930290162563324,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_11,,test_11_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4566229581832886,0.6607219576835632,-0.20409899950027466,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_11,,test_11_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4566229581832886,0.6377803087234497,-0.18115735054016113,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_11,,test_11_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3623955547809601,0.447907418012619,-0.08551186323165894,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_11,,test_11_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3623955547809601,0.537577211856842,-0.17518165707588196,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_11,,test_11_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3554064929485321,0.1106572300195694,0.2447492629289627,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_12,,test_12_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3554064929485321,0.11216877400875092,0.2432377189397812,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_12,,test_12_001,,,,
