patient,split,seed,fraction,count,method,control,signed_change,absolute_change
TCGA-A1-A0SP,development,11,0.2,30,random,16,0.013598352670669556,0.013598352670669556
TCGA-A1-A0SP,development,11,0.2,30,random,17,-0.017934590578079224,0.017934590578079224
TCGA-A1-A0SP,development,11,0.2,30,random,18,-0.027928829193115234,0.027928829193115234
TCGA-A1-A0SP,development,11,0.2,30,random,19,0.005687206983566284,0.005687206983566284
TCGA-A1-A0SP,development,23,0.05,8,gnnexplainer,-1,0.002863973379135132,0.002863973379135132
TCGA-A1-A0SP,development,23,0.05,8,random,0,0.016148030757904053,0.016148030757904053
TCGA-A1-A0SP,development,23,0.05,8,random,1,0.00023734569549560547,0.00023734569549560547
TCGA-A1-A0SP,development,23,0.05,8,random,2,0.01474463939666748,0.01474463939666748
TCGA-A1-A0SP,development,23,0.05,8,random,3,-0.0022904574871063232,0.0022904574871063232
TCGA-A1-A0SP,development,23,0.05,8,random,4,-0.00010034441947937012,0.00010034441947937012
TCGA-A1-A0SP,development,23,0.05,8,random,5,0.002470463514328003,0.002470463514328003
TCGA-A1-A0SP,development,23,0.05,8,random,6,-0.001699209213256836,0.001699209213256836
TCGA-A1-A0SP,development,23,0.05,8,random,7,0.010403096675872803,0.010403096675872803
TCGA-A1-A0SP,development,23,0.05,8,random,8,-0.007334470748901367,0.007334470748901367
TCGA-A1-A0SP,development,23,0.05,8,random,9,0.0022129714488983154,0.0022129714488983154
TCGA-A1-A0SP,development,23,0.05,8,random,10,-0.0046167075634002686,0.0046167075634002686
TCGA-A1-A0SP,development,23,0.05,8,random,11,0.010399878025054932,0.010399878025054932
TCGA-A1-A0SP,development,23,0.05,8,random,12,0.013236135244369507,0.013236135244369507
TCGA-A1-A0SP,development,23,0.05,8,random,13,0.013113856315612793,0.013113856315612793
TCGA-A1-A0SP,development,23,0.05,8,random,14,-5.7756900787353516e-05,5.7756900787353516e-05
TCGA-A1-A0SP,development,23,0.05,8,random,15,0.01146465539932251,0.01146465539932251
TCGA-A1-A0SP,development,23,0.05,8,random,16,-0.003463655710220337,0.003463655710220337
TCGA-A1-A0SP,development,23,0.05,8,random,17,-0.005925685167312622,0.005925685167312622
TCGA-A1-A0SP,development,23,0.05,8,random,18,0.0076354146003723145,0.0076354146003723145
TCGA-A1-A0SP,development,23,0.05,8,random,19,0.008300036191940308,0.008300036191940308
TCGA-A1-A0SP,development,23,0.1,15,gnnexplainer,-1,0.005717277526855469,0.005717277526855469
