architecture,seed,concept,layer,test_patient,train_patients,mse,shuffled_mse,constant_mse
GCN,23,stroma,1,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.06032316012436798,0.058828278464721113,0.05807617675859528
GCN,23,stroma,2,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.06374896413650581,0.05927051379290769,0.05807617675859528
GCN,23,stroma,0,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.09391180960580993,0.06859746712348117,0.07509517365036285
GCN,23,stroma,1,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.1512105698913045,0.09467646352801712,0.07509517365036285
GCN,23,stroma,2,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.09178257008694965,0.0832448333071674,0.07509517365036285
GCN,23,lymphocytic_infiltrate,0,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.10856994225805841,0.0807075926621387,0.02804965705300753
GCN,23,lymphocytic_infiltrate,1,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.021028590145610537,0.01216483463137616,0.02804965705300753
GCN,23,lymphocytic_infiltrate,2,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.01606850396846759,0.011609162655312217,0.02804965705300753
GCN,23,lymphocytic_infiltrate,0,TCGA-A1-A0SP,TCGA-A1-A0SK|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.15002748395423743,0.07024863370738042,0.03371289920742107
GCN,23,lymphocytic_infiltrate,1,TCGA-A1-A0SP,TCGA-A1-A0SK|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.02786185122277107,0.028358650077385278,0.03371289920742107
GCN,23,lymphocytic_infiltrate,2,TCGA-A1-A0SP,TCGA-A1-A0SK|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.04068155041623307,0.041915877656209716,0.03371289920742107
GCN,23,lymphocytic_infiltrate,0,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.07641041421643308,0.06892162787881259,0.042042623833166426
GCN,23,lymphocytic_infiltrate,1,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.10327244848377591,0.10327122058647246,0.042042623833166426
GCN,23,lymphocytic_infiltrate,2,TCGA-A2-A04P,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.10130504036191906,0.10100592233310751,0.042042623833166426
